episode:    166	 return:    2077.66	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   63	 ill moves:    2
episode:    167	 return:    1798.84	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:    168	 return:    2196.80	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    4
episode:    169	 return:    1899.54	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   66	 ill moves:    1
episode:    170	 return:    2292.06	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   71	 ill moves:    9
episode:    171	 return:    2291.72	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   69	 ill moves:    9
episode:    172	 return:    1974.52	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   69	 ill moves:    6
episode:    173	 return:    2099.96	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   63	 ill moves:    1
episode:    174	 return:    2199.66	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    1
episode:    175	 return:    2087.26	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   74	 ill moves:   13
episode:    176	 return:    1875.84	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   66	 ill moves:    5
episode:    177	 return:    2199.20	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   62	 ill moves:    2
episode:    178	 return:    2399.36	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   66	 ill moves:    2
episode:    179	 return:    2191.84	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   72	 ill moves:    9
episode:    180	 return:    1600.18	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:    181	 return:    1889.78	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   75	 ill moves:   11
episode:    182	 return:    1898.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    2
episode:    183	 return:    2396.36	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   64	 ill moves:    5
episode:    184	 return:    1694.10	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   72	 ill moves:    6
episode:    185	 return:    2298.00	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   64	 ill moves:    3
